object_type,latitude,longitude
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
car,19.9975,73.7898
